provider,category,product,service_type,region_code,region_name,sku_or_plan,cpu_vcpu,memory_gb,storage_gb,gpu,price_amount,price_unit,currency,billing_basis,notes,source_url,fetched_at
Alibaba,cloud_major,Elastic Compute Service,vm,cn-hangzhou,China Hangzhou,ecs.t6-c1m1.large,2,2,,none,,hour,USD,pay_as_you_go,China region comparison row; check Alibaba pricing API/calculator for exact rate.,https://www.alibabacloud.com/help/doc-detail/472926.html,2026-05-11
Alibaba,cloud_major,Elastic Compute Service,vm,cn-hangzhou,China Hangzhou,ecs.g6.large,2,8,,none,,hour,USD,pay_as_you_go,China region comparison row; check pricing API/calculator.,https://www.alibabacloud.com/help/doc-detail/472926.html,2026-05-11
Alibaba,cloud_major,Elastic Compute Service,vm,us-west-1,US Silicon Valley,ecs.t6-c1m1.large,2,2,,none,,hour,USD,pay_as_you_go,US region comparison row; check Alibaba pricing API/calculator for exact rate.,https://www.alibabacloud.com/help/doc-detail/472926.html,2026-05-11
Alibaba,cloud_major,Elastic Compute Service,vm,eu-central-1,Germany Frankfurt,ecs.g6.large,2,8,,none,,hour,USD,pay_as_you_go,EU region comparison row; check Alibaba pricing API/calculator.,https://www.alibabacloud.com/help/doc-detail/472926.html,2026-05-11
Alibaba,cloud_major,ApsaraDB RDS,database,ap-southeast-1,Singapore,mysql.n2.small.1,1,2,,none,,hour,USD,pay_as_you_go,"RDS pricing depends on engine, edition, storage, region, and billing mode; check official pricing API/calculator.",https://www.alibabacloud.com/help/doc-detail/472926.html,2026-05-11
Alibaba,cloud_major,ApsaraDB RDS,database,ap-southeast-1,Singapore,mysql.n2.medium.1,2,4,,none,,hour,USD,pay_as_you_go,RDS sample row; check official pricing API/calculator.,https://www.alibabacloud.com/help/doc-detail/472926.html,2026-05-11
Tencent,cloud_major,Cloud Virtual Machine,vm,ap-jakarta,Jakarta,S6.SMALL1,1,1,,none,,hour,USD,pay_as_you_go,Jakarta region CVM sample; verify active pricing in Tencent calculator/console.,https://intl.cloud.tencent.com/document/product/213/15688?lang=en,2026-05-11
Tencent,cloud_major,Cloud Virtual Machine,vm,ap-jakarta,Jakarta,S6.MEDIUM2,2,2,,none,,hour,USD,pay_as_you_go,Jakarta region CVM sample; verify active pricing in Tencent calculator/console.,https://cloud.tencent.com/document/product/213/15730,2026-05-11
Tencent,cloud_major,Cloud Virtual Machine,vm,ap-jakarta,Jakarta,S6.LARGE4,2,4,,none,,hour,USD,pay_as_you_go,Jakarta region CVM sample; verify active pricing in Tencent calculator/console.,https://intl.cloud.tencent.com/document/product/213/15688?lang=en,2026-05-11
Tencent,cloud_major,Cloud Virtual Machine,vm,na-siliconvalley,Silicon Valley,S6.SMALL1,1,1,,none,,hour,USD,pay_as_you_go,US region CVM sample; verify active pricing in Tencent calculator/console.,https://intl.cloud.tencent.com/document/product/213/15688?lang=en,2026-05-11
Tencent,cloud_major,Cloud Virtual Machine,vm,eu-frankfurt,Frankfurt,S6.MEDIUM2,2,2,,none,,hour,USD,pay_as_you_go,EU region CVM sample; verify active pricing in Tencent calculator/console.,https://cloud.tencent.com/document/product/213/15730,2026-05-11
Tencent,cloud_major,TencentDB for MySQL,database,ap-singapore,Singapore,1vCPU-2GB,1,2,,none,,hour,USD,pay_as_you_go,"TencentDB pricing varies by edition, storage, HA, and region; verify in calculator/console.",https://intl.cloud.tencent.com/document/product/213/15688?lang=en,2026-05-11
Tencent,cloud_major,TencentDB for MySQL,database,ap-singapore,Singapore,2vCPU-4GB,2,4,,none,,hour,USD,pay_as_you_go,TencentDB sample row; verify pricing in calculator/console.,https://cloud.tencent.com/document/product/213/15730,2026-05-11
Modal.com,ml_best,Modal Serverless,serverless_function,global,Global,cpu-1core-2GiB,2,2,,none,0.0000131,core-second,USD,usage_based,CPU cost is per physical core-second; memory billed separately.,https://modal.com/pricing,2026-05-11
Modal.com,ml_best,Modal Serverless,serverless_function,global,Global,cpu-2core-8GiB,4,8,,none,0.0000131,core-second,USD,usage_based,CPU cost is per physical core-second; memory billed separately.,https://modal.com/pricing,2026-05-11
Modal.com,ml_best,Modal Serverless,serverless_memory,global,Global,memory-1GiB,,1,,none,0.00000222,GiB-second,USD,usage_based,Modal memory usage is billed per GiB-second.,https://modal.com/pricing,2026-05-11
Modal.com,ml_best,Modal Sandbox,sandbox,global,Global,sandbox-cpu-core,2,,,none,0.00003942,core-second,USD,usage_based,Sandbox/notebook CPU pricing differs from standard serverless CPU pricing.,https://modal.com/pricing,2026-05-11
Modal.com,ml_best,Modal Sandbox,sandbox,global,Global,sandbox-memory-1GiB,,1,,none,0.00000672,GiB-second,USD,usage_based,Sandbox/notebook memory pricing sample.,https://modal.com/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,azure,Provider Azure,azure-cpu-x2,2,4,,none,0.12,hour,USD,dedicated_endpoint,Azure provider CPU endpoint sample.,https://huggingface.co/docs/inference-endpoints/en/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,azure,Provider Azure,azure-cpu-x4,4,8,,none,0.24,hour,USD,dedicated_endpoint,Azure provider CPU endpoint sample.,https://huggingface.co/docs/inference-endpoints/en/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,azure,Provider Azure,azure-cpu-x8,8,16,,none,0.48,hour,USD,dedicated_endpoint,Azure provider CPU endpoint sample.,https://huggingface.co/docs/inference-endpoints/en/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,aws,Provider AWS,aws-cpu-x16,16,32,,none,0.54,hour,USD,dedicated_endpoint,Large CPU endpoint sample.,https://huggingface.co/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,aws,Provider AWS,Inf2 x1-large,,124,,Inf2 Neuron,1.95,hour,USD,dedicated_endpoint,Large accelerator endpoint sample from official pricing.,https://huggingface.co/pricing,2026-05-11
Hugging Face,ml_best,Spaces Hardware,space,global,Global,CPU Basic,2,16,,none,,hour,USD,usage_based,Spaces hardware pricing varies by selected instance; verify official pricing page for active rate.,https://huggingface.co/pricing,2026-05-11
Hugging Face,ml_best,Spaces Hardware,space,global,Global,T4 small,4,15,,T4,,hour,USD,usage_based,Spaces GPU hardware row; verify official pricing page for active rate.,https://huggingface.co/pricing,2026-05-11
Hugging Face,ml_best,Spaces Hardware,space,global,Global,A10G large,12,46,,A10G,,hour,USD,usage_based,Spaces GPU hardware row; verify official pricing page for active rate.,https://huggingface.co/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,gpu-a100-large-4x,,,,A100 80GB x4,0.0056,second,USD,usage_based,Official hardware pricing for 4x A100 80GB.,https://replicate.com/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,gpu-a100-large-8x,,,,A100 80GB x8,0.0112,second,USD,usage_based,Official hardware pricing for 8x A100 80GB.,https://replicate.com/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,gpu-h100-4x,,,,H100 x4,0.0061,second,USD,usage_based,Official hardware pricing for 4x H100.,https://replicate.com/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,gpu-h100-8x,,,,H100 x8,0.0122,second,USD,usage_based,Official hardware pricing for 8x H100.,https://replicate.com/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,gpu-l40s-4x,,,,L40S x4,0.0039,second,USD,usage_based,Official hardware pricing for 4x L40S.,https://replicate.com/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,gpu-l40s-8x,,,,L40S x8,0.0078,second,USD,usage_based,Official hardware pricing for 8x L40S.,https://replicate.com/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,gpu-a40,4,16,,A40,0.0013,second,USD,usage_based,A40 pricing from Replicate changelog; verify availability on current pricing page.,https://replicate.com/changelog/2023-07-24-a40-gpus-now-available,2026-05-11
Replicate,ml_best,Replicate Public Models,model_endpoint,global,Global,public-model-runtime,,,,varies,,second,USD,usage_based,Public model pricing depends on model hardware/runtime or model-specific input/output pricing.,https://replicate.com/pricing,2026-05-11
Netlify,web_instant,Netlify Platform,web_site,global,Global,Bandwidth credits,,,,none,,credit,NETLIFY_CREDIT,usage_credit,Bandwidth uses Netlify credits; check pricing dashboard/page for current conversion.,https://www.netlify.com/pricing/,2026-05-11
Netlify,web_instant,Netlify Platform,web_site,global,Global,Function compute credits,,,,none,,credit,NETLIFY_CREDIT,usage_credit,Function compute uses Netlify usage credits; check pricing page/dashboard for current conversion.,https://www.netlify.com/pricing/,2026-05-11
Netlify,web_instant,Netlify Platform,web_site,global,Global,Web requests credits,,,,none,,credit,NETLIFY_CREDIT,usage_credit,Web requests are part of Netlify credit-based pricing.,https://www.netlify.com/pricing/,2026-05-11
Netlify,web_instant,Netlify Platform,web_site,global,Global,AI inference dollars,,,,none,,credit,NETLIFY_CREDIT,usage_credit,Netlify credit-based pricing includes AI inference dollar accounting where applicable.,https://www.netlify.com/pricing/,2026-05-11
DigitalOcean,cloud_major,App Platform,static_site,global,Global,Static-only extra app,,,,none,3,month,USD,subscription,Additional apps with static sites only are listed as 3 USD/month.,https://www.digitalocean.com/pricing/app-platform,2026-05-11
Vercel,web_instant,Vercel Platform,web_app,global,Global,Image Optimization transforms,,,,none,,1k transforms,USD,usage_based,Image optimization has its own usage metric; verify current active pricing on Vercel pricing page.,https://vercel.com/pricing,2026-05-11
Vercel,web_instant,Vercel Platform,web_app,global,Global,Fast Origin Transfer,,,,none,,GB,USD,usage_based,Fast Origin Transfer is data between Vercel services/origin paths; verify current regional pricing.,https://vercel.com/docs/pricing/networking,2026-05-11
Vercel,web_instant,Vercel Platform,web_app,global,Global,ISR reads/writes,,,,none,,operation,USD,usage_based,Incremental Static Regeneration and cache-related usage can affect pricing; verify current Vercel metrics.,https://vercel.com/pricing,2026-05-11
Vercel,web_instant,Vercel Platform,web_app,global,Global,Blob storage,,,,none,,GB-month,USD,usage_based,Vercel Blob storage has separate storage and transfer metrics; verify current pricing page.,https://vercel.com/pricing,2026-05-11
Vercel,web_instant,Vercel Platform,web_app,global,Global,Edge Config reads,,,,none,,read,USD,usage_based,Edge Config usage is a separate platform metric; verify current pricing.,https://vercel.com/pricing,2026-05-11
Neon,database,Neon Postgres,postgres,global,Global,Free branch,,,,none,0,month,USD,plan_included,Free/project branch allowance depends on plan; verify current pricing page.,https://neon.com/pricing,2026-05-11
Neon,database,Neon Postgres,postgres,global,Global,Extra storage,,,,none,,GB-month,USD,usage_based,Neon storage pricing depends on plan and usage; verify current pricing page.,https://neon.com/pricing,2026-05-11
Neon,database,Neon Postgres,postgres,global,Global,Instant restore history,,,,none,,GiB-hour,USD,usage_based,Point-in-time restore/history usage can affect pricing; verify current plan details.,https://neon.com/pricing,2026-05-11
Neon,database,Neon Postgres,postgres,global,Global,Autoscale 2 CU,2,8,,none,,CU-hour,USD,usage_based,Autoscaling consumes compute hours; verify exact CU-hour pricing by plan.,https://neon.com/docs/introduction/pro-plan,2026-05-11
Neon,database,Neon Postgres,postgres,global,Global,Autoscale 4 CU,4,16,,none,,CU-hour,USD,usage_based,Autoscaling row for larger Neon compute; verify exact CU-hour pricing by plan.,https://neon.com/docs/introduction/pro-plan,2026-05-11
Supabase,database,Supabase Auth,auth,global,Global,Free MAU quota,,,,none,0,month,USD,plan_included,Auth quota depends on plan; pricing and overages should be verified on current pricing page.,https://supabase.com/pricing,2026-05-11
Supabase,database,Supabase Auth,auth,global,Global,Pro MAU quota,,,,none,,MAU,USD,usage_based,Auth overage/quotas depend on plan; check current pricing page.,https://supabase.com/pricing,2026-05-11
Supabase,database,Supabase Storage,object_storage,global,Global,Storage included,,,,none,,GB-month,USD,usage_based,Storage allowance/overage depends on plan; check current pricing page.,https://supabase.com/pricing,2026-05-11
Supabase,database,Supabase Edge Functions,serverless_function,global,Global,Function invocations,,,,none,,invocation,USD,usage_based,Edge Functions usage and quotas depend on plan; check current pricing page.,https://supabase.com/pricing,2026-05-11
Supabase,database,Supabase Realtime,realtime,global,Global,Realtime messages,,,,none,,message,USD,usage_based,Realtime usage and quotas depend on plan; check current pricing page.,https://supabase.com/pricing,2026-05-11
Firebase,database,Firebase Auth,auth,global,Global,Email password auth,,,,none,0,month,USD,plan_included,Firebase Auth pricing varies by provider and identity platform features; check current Firebase pricing.,https://firebase.google.com/pricing,2026-05-11
Firebase,database,Firebase Auth,auth,global,Global,Phone auth,,,,none,,verification,USD,usage_based,Phone auth pricing varies by country and SMS provider; check current Firebase pricing.,https://firebase.google.com/pricing,2026-05-11
Firebase,database,Cloud Functions,serverless_function,global,Global,Function invocations,,,,none,,million invocations,USD,usage_based,"Cloud Functions pricing depends on generation, CPU, memory, duration, networking, and free tier.",https://firebase.google.com/pricing,2026-05-11
Firebase,database,Cloud Functions,serverless_function,global,Global,GB-second duration,,,,none,,GB-second,USD,usage_based,Function duration pricing depends on generation and region; check current Firebase/GCP pricing.,https://firebase.google.com/pricing,2026-05-11
Firebase,database,Cloud Storage,object_storage,global,Global,Stored data,,,,none,,GB-month,USD,usage_based,Cloud Storage for Firebase pricing varies by bucket location and operation type.,https://firebase.google.com/pricing,2026-05-11
Firebase,database,Realtime Database,realtime_database,global,Global,Stored data,,,,none,,GB-month,USD,usage_based,Realtime Database pricing depends on storage and downloaded data; check current pricing.,https://firebase.google.com/pricing,2026-05-11
MongoDB,database,MongoDB Atlas,document_database,global,Global,M80,32,128,750,none,7.30,hour,USD,dedicated_cluster,Dedicated cluster sample; actual pricing varies by cloud provider and region.,https://www.mongodb.com/pricing,2026-05-11
MongoDB,database,MongoDB Atlas,document_database,global,Global,M140,48,192,1024,none,10.99,hour,USD,dedicated_cluster,Dedicated cluster sample; actual pricing varies by cloud provider and region.,https://www.mongodb.com/pricing,2026-05-11
MongoDB,database,MongoDB Atlas,document_database,global,Global,M200,64,256,1536,none,14.59,hour,USD,dedicated_cluster,Dedicated cluster sample; actual pricing varies by cloud provider and region.,https://www.mongodb.com/pricing,2026-05-11
MongoDB,database,MongoDB Atlas,document_database,global,Global,M300,96,384,2048,none,21.85,hour,USD,dedicated_cluster,Dedicated cluster sample; actual pricing varies by cloud provider and region.,https://www.mongodb.com/pricing,2026-05-11
MongoDB,database,MongoDB Atlas,document_database,global,Global,M400,64,488,3072,none,22.40,hour,USD,dedicated_cluster,Dedicated cluster sample; actual pricing varies by cloud provider and region.,https://www.mongodb.com/pricing,2026-05-11
MongoDB,database,MongoDB Atlas,document_database,global,Global,M700,96,768,4096,none,33.26,hour,USD,dedicated_cluster,Dedicated cluster sample; actual pricing varies by cloud provider and region.,https://www.mongodb.com/pricing,2026-05-11
MongoDB,database,MongoDB Atlas Search,search,global,Global,Search nodes,,,,none,,hour,USD,usage_based,Atlas Search pricing depends on search node size/count and region; verify current pricing.,https://www.mongodb.com/pricing,2026-05-11
MongoDB,database,MongoDB Atlas Backup,backup,global,Global,Backup snapshot storage,,,,none,,GB-month,USD,usage_based,"Backup pricing depends on snapshot storage, retention, cloud provider, and region.",https://www.mongodb.com/pricing,2026-05-11
Railway,backend,Railway Services,backend_service,global,Global,1 vCPU service,1,,,none,,minute,USD,usage_based,Railway pricing charges by minute for vCPU and memory resources; exact unit rates should be checked in dashboard/docs.,https://docs.railway.com/reference/workspaces,2026-05-11
Railway,backend,Railway Services,backend_service,global,Global,512MB RAM service,,0.5,,none,,minute,USD,usage_based,Railway memory usage row; exact unit pricing should be checked in dashboard/docs.,https://docs.railway.com/reference/workspaces,2026-05-11
Railway,backend,Railway Services,backend_service,global,Global,Postgres plugin small,1,0.5,,none,,minute,USD,usage_based,Railway Postgres/database resources bill as project resources; exact pricing should be checked in dashboard/docs.,https://docs.railway.com/integrations/api,2026-05-11
Railway,backend,Railway Services,backend_service,global,Global,Volume storage,,,,none,,GB-month,USD,usage_based,Railway volume storage pricing depends on usage and plan; check current dashboard/docs.,https://docs.railway.com/pricing,2026-05-11
Railway,backend,Railway Services,backend_service,global,Global,Egress/networking,,,,none,,GB,USD,usage_based,Railway networking/egress pricing should be checked against current plan docs/dashboard.,https://docs.railway.com/pricing,2026-05-11
Azure,cloud_major,Virtual Machines Famdsv7 Series,vm,australiaeast,AU East,Standard_F2-1amds_v7,,,,none,0.050635,hour,USD,Consumption,Azure Retail Prices API raw row; meter=F2-1amds v7 Spot; sku=F2-1amds v7 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Esv4 Series,vm,eastasia,AP East,Standard_E16s_v4,,,,none,1.336,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E16s v4; sku=E16s v4.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,DCasv5-series Linux,vm,eastus,US East,Standard_DC8as_v5,,,,none,0.0688,hour,USD,Consumption,Azure Retail Prices API raw row; meter=DC8as v5 Low Priority; sku=Standard_DC8as_v5 Low Priority.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Edv5 Series,vm,japaneast,JA East,Standard_E20d_v5,,,,none,0.348,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E20d v5 Low Priority; sku=Standard_E20d_v5 Low Priority.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines FXmdsv2 Series,vm,southeastasia,AP Southeast,Standard_FX64-16mds_v2,,,,none,2.345666,hour,USD,Consumption,Azure Retail Prices API raw row; meter=FX64-16mds v2 Spot; sku=FX64-16mds v2 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Ebsv6-Series Linux,vm,uksouth,UK South,Standard_E4bs_v6,,,,none,0.05232,hour,USD,Consumption,Azure Retail Prices API raw row; meter=Standard_E4bs_v6 Spot; sku=Standard_E4bs_v6 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Ddsv5 Series,vm,westeurope,EU West,Standard_D4ds_v5,,,,none,0.050266,hour,USD,Consumption,Azure Retail Prices API raw row; meter=D4ds v5 Spot; sku=Standard_D4ds_v5 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Eadsv5 Series CloudServices,vm,westus3,US West 3,Standard_E4ads_v5,,,,none,0.178,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E4ads v5 Low Priority; sku=E4ads v5 Low Priority.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines ESv3 Series,vm,australiaeast,AU East,Standard_E64s_v3,,,,none,4.347,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E64s v3; sku=E64s v3.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Ev3 Series,vm,eastasia,AP East,Standard_E4_v3,,,,none,0.0668,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E4 v3/E4s v3 Low Priority; sku=E4 v3 Low Priority.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Eadsv5 Series,vm,eastus,US East,Standard_E112iads_v5,,,,none,1.614,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E112iads v5 Low Priority; sku=E112iads v5 Low Priority.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Famsv7 Series,vm,japaneast,JA East,Standard_F48ams_v7,,,,none,5.592,hour,USD,Consumption,Azure Retail Prices API raw row; meter=F48ams v7; sku=F48ams v7.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Famsv6 Series,vm,southeastasia,AP Southeast,Standard_F48ams_v6,,,,none,5.39,hour,USD,Consumption,Azure Retail Prices API raw row; meter=F48ams v6; sku=F48ams v6.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines DCasccv5 Series,vm,uksouth,UK South,Standard_DC96as_cc_v5,,,,none,0.88704,hour,USD,Consumption,Azure Retail Prices API raw row; meter=DC96ascc v5 Spot; sku=Standard_DC96as_cc_v5 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines DSv2 Series,vm,westeurope,EU West,Standard_DS14-4_v2,,,,none,0.280526,hour,USD,Consumption,Azure Retail Prices API raw row; meter=DS14 v2 Spot; sku=DS14-4 v2 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Eadsv7 Series,vm,westus3,US West 3,Standard_E8-2ads_v7,,,,none,0.581,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E8-2ads v7; sku=E8-2ads v7.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Epdsv6 Series,vm,australiaeast,AU East,Standard_E16pds_v6,,,,none,1.166,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E16pds v6; sku=E16pds v6.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Dnlsv6 Series Linux,vm,eastasia,AP East,Standard_D48nls_v6,,,,none,3.604,hour,USD,Consumption,Azure Retail Prices API raw row; meter=D48nls v6; sku=D48nls v6.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Eav4 Series,vm,eastus,US East,Standard_E48a_v4,,,,none,0.641088,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E48a v4/E48as v4 Spot; sku=E48a v4 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Edsv5 Series,vm,japaneast,JA East,Standard_E104ids_v5,,,,none,1.991,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E104ids v5 Low Priority; sku=E104ids v5 Low Priority.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Dpdsv5 Series,vm,southeastasia,AP Southeast,Standard_D48pds_v5,,,,none,0.501178,hour,USD,Consumption,Azure Retail Prices API raw row; meter=D48pds v5 Spot; sku=Standard_D48pds_v5 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Edsv4 Series,vm,uksouth,UK South,Standard_E32ds_v4,,,,none,0.32448,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E32ds v4 Spot; sku=E32ds v4 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Easv5 Series,vm,westeurope,EU West,Standard_E16-4as_v5,,,,none,0.219,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E16-4as v5 Low Priority; sku=E16-4as v5 Low Priority.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Esv4 Series,vm,westus3,US West 3,Standard_E2s_v4,,,,none,0.126,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E2s v4; sku=E2s v4.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Dnsv6 Series Linux,vm,australiaeast,AU East,Standard_D8ns_v6,,,,none,0.1404,hour,USD,Consumption,Azure Retail Prices API raw row; meter=D8ns v6 Spot; sku=D8ns v6 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Bpsv2 Series Cloud Services,vm,eastasia,AP East,Standard_B8ps_v2,,,,none,0.408,hour,USD,Consumption,Azure Retail Prices API raw row; meter=B8ps v2; sku=B8ps v2.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Ev5 Series,vm,eastus,US East,Standard_E8_v5,,,,none,0.101,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E8 v5 Low Priority; sku=Standard_E8_v5 Low Priority.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Easv5 Series,vm,japaneast,JA East,Standard_E8-2as_v5,,,,none,0.10127,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E8-2as v5 Spot; sku=E8-2as v5 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Dasv4 Series,vm,southeastasia,AP Southeast,Standard_D32as_v4,,,,none,0.354816,hour,USD,Consumption,Azure Retail Prices API raw row; meter=D32as v4 Spot; sku=D32as v4 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Famsv7 Series,vm,uksouth,UK South,Standard_F64-32ams_v7,,,,none,1.230029,hour,USD,Consumption,Azure Retail Prices API raw row; meter=F64-32ams v7 Spot; sku=F64-32ams v7 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Ev4 Series,vm,westeurope,EU West,Standard_E32_v4,,,,none,2.432,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E32 v4; sku=E32 v4.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Dpsv6 Series,vm,westus3,US West 3,Standard_D64ps_v6,,,,none,0.415061,hour,USD,Consumption,Azure Retail Prices API raw row; meter=D64ps v6 Spot; sku=D64ps v6 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Dpdsv6 Series,vm,australiaeast,AU East,Standard_D16pds_v6,,,,none,0.915,hour,USD,Consumption,Azure Retail Prices API raw row; meter=D16pds v6; sku=D16pds v6.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,DCadsv5-series Linux,vm,eastasia,AP East,Standard_DC48ads_v5,,,,none,0.629798,hour,USD,Consumption,Azure Retail Prices API raw row; meter=DC48ads v5 Spot; sku=Standard_DC48ads_v5 Spot.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Virtual Machines Easv5 Series,vm,eastus,US East,Standard_E8-4as_v5,,,,none,0.0904,hour,USD,Consumption,Azure Retail Prices API raw row; meter=E8-4as v5 Low Priority; sku=E8-4as v5 Low Priority.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
